framework,control,chapter,chapter_name,source_file,practice_id,practice_name,how_it_maps,notes,source_ref
LIFECYCLE,STORY,13,formacao-onboarding,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/13-formacao-onboarding/aplicacao-lifecycle.md,,📖 User Stories normalizadas,User story/heading do lifecycle,AUTO: heurístico,/13#lifecycle
LIFECYCLE,STORY,13,formacao-onboarding,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/13-formacao-onboarding/aplicacao-lifecycle.md,,📦 Artefactos esperados,User story/heading do lifecycle,AUTO: heurístico,/13#lifecycle
SSDF,PO.1,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/achievable-maturity.md,MAT-SSDF,Achievable maturity mapping,Linha contendo SSDF PO.1,AUTO: achievable-maturity,/14#achievable
SAMM,,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/14#achievable
SLSA,3,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 3,AUTO: achievable-maturity,/14#achievable
SLSA,1,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/14#achievable
SLSA,2,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 2,AUTO: achievable-maturity,/14#achievable
DSOMM,,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/14#achievable
LIFECYCLE,STORY,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/aplicacao-lifecycle.md,,📖 User Stories normalizadas,User story/heading do lifecycle,AUTO: heurístico,/14#lifecycle
LIFECYCLE,STORY,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/aplicacao-lifecycle.md,,US-03 - Validação contínua de fornecedores,User story/heading do lifecycle,AUTO: heurístico,/14#lifecycle
LIFECYCLE,STORY,14,governanca-contratacao,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/14-governanca-contratacao/aplicacao-lifecycle.md,,📦 Artefactos esperados,User story/heading do lifecycle,AUTO: heurístico,/14#lifecycle
