CHAPTER,FILE,SUMMARY,CURRENT_TAGS,PROPOSED_TAGS,TAGS_ADDED,TAGS_REMOVED,RATIONALE_ADDED,APPROVAL_STATUS
002-cross-check-normativo,sbd-toe/002-cross-check-normativo/01-intro.md,"A segurança do software não acontece num vácuo técnico. | Organizações de diferentes setores estão s","compliance|cross-check|dora|gdpr|hipaa|iso27001|nis2|normativos|pci-dss|soc2","compliance|cross-check|dora|gdpr|hipaa|iso27001|nis2","","normativos|pci-dss|soc2","",PENDING
cra,sbd-toe/002-cross-check-normativo/cra/01-intro.md,"> Para implementação prática; consulte o [Playbook SbD-ToE 4 CRA](/sbd-toe/cross | >","cra|cross-check|produtos-digitais|regulamentacao|sbom|vulnerabilidades","cra|cross-check|dependencias|produtos-digitais|regulamentacao|sbom|vulnerabilidades","dependencias","","dependencias(87%,rag+pattern:RAG + keyword pattern agreemen)",PENDING
cra,sbd-toe/002-cross-check-normativo/cra/02-playbook.md,"Objetivo: Transformar requisitos CRA em ações concretas usando controlos existen | Princípio: Reutil","cra|implementacao|playbook|produtos-digitais|roadmap","cra|dora|implementacao|nis2|playbook|produtos-digitais|roadmap","dora|nis2","","dora(71%,rag:Found in 70% of similar docume); nis2(67%,rag:Found in 67% of similar docume)",PENDING
dora,sbd-toe/002-cross-check-normativo/dora/01-intro.md,"> Para implementação prática; consulte o [Playbook SbD-ToE 4 DORA](/sbd-toe/cros | >","cross-check|dora|finanças|ict-risk|regulamentacao|resiliencia","arquitetura|cross-check|dora|finanças|ict-risk|regulamentacao|resiliencia","arquitetura","","arquitetura(60%,pattern:Content keywords match pattern)",PENDING
dora,sbd-toe/002-cross-check-normativo/dora/02-playbook.md,"Este playbook mapeia **requisitos DORA (Regulamento UE 2022/2554) para ações SbD | **Princípio:** Im","dora|implementacao|playbook|roadmap","cra|dora|implementacao|nis2|playbook|produtos-digitais|roadmap","cra|nis2|produtos-digitais","","cra(63%,rag:Found in 63% of similar docume); nis2(65%,rag:Found in 64% of similar docume); produtos-digitais(65%,rag:Found in 64% of similar docume)",PENDING
